#,MM:DD:YYYY,HH:MM:SS,PM1.0,PM2.5,PM10.0,TVOC(ppb),CO2(ppm)
331, 1/ 1/2000, 5:35: 0 AM,2,3,3,165,400
332, 1/ 1/2000, 5:36: 0 AM,2,3,5,167,400
333, 1/ 1/2000, 5:37: 0 AM,3,4,5,169,400
334, 1/ 1/2000, 5:38: 0 AM,2,2,2,167,400
335, 1/ 1/2000, 5:39: 0 AM,2,3,3,174,400
336, 1/ 1/2000, 5:40: 0 AM,2,3,3,172,400
337, 1/ 1/2000, 5:41: 0 AM,2,3,6,168,400
338, 1/ 1/2000, 5:42: 0 AM,3,4,4,179,400
339, 1/ 1/2000, 5:43: 0 AM,3,3,3,181,400
340, 1/ 1/2000, 5:44: 0 AM,2,3,3,179,400
341, 1/ 1/2000, 5:45: 0 AM,2,3,3,175,400
342, 1/ 1/2000, 5:46: 0 AM,1,2,4,177,400
343, 1/ 1/2000, 5:47: 0 AM,2,3,4,178,400
344, 1/ 1/2000, 5:48: 0 AM,2,3,3,179,400
345, 1/ 1/2000, 5:49: 0 AM,3,3,3,180,400
346, 1/ 1/2000, 5:50: 0 AM,2,3,3,178,400
347, 1/ 1/2000, 5:51: 0 AM,2,3,5,180,400
348, 1/ 1/2000, 5:52: 0 AM,2,2,2,181,400
349, 1/ 1/2000, 5:53: 0 AM,2,3,4,182,400
350, 1/ 1/2000, 5:54: 0 AM,3,4,4,177,400
351, 1/ 1/2000, 5:55: 0 AM,2,2,2,181,400
352, 1/ 1/2000, 5:56: 0 AM,2,2,2,189,400
353, 1/ 1/2000, 5:57: 0 AM,2,2,6,187,400
354, 1/ 1/2000, 5:58: 0 AM,2,3,6,186,400
355, 1/ 1/2000, 5:59: 0 AM,2,3,3,188,400
356, 1/ 1/2000, 6: 0: 0 AM,3,3,3,186,400
357, 1/ 1/2000, 6: 1: 0 AM,2,4,6,190,400
358, 1/ 1/2000, 6: 2: 0 AM,1,1,1,190,400
359, 1/ 1/2000, 6: 3: 0 AM,2,3,5,190,400
360, 1/ 1/2000, 6: 4: 0 AM,1,1,1,203,429
361, 1/ 1/2000, 6: 5: 0 AM,2,2,2,238,563
362, 1/ 1/2000, 6: 6: 0 AM,2,3,3,241,551
363, 1/ 1/2000, 6: 7: 0 AM,1,1,1,245,617
364, 1/ 1/2000, 6: 8: 0 AM,2,2,3,260,661
365, 1/ 1/2000, 6: 9: 0 AM,2,3,4,276,681
366, 1/ 1/2000, 6:10: 0 AM,1,2,2,278,676
367, 1/ 1/2000, 6:11: 0 AM,2,2,2,370,1039
368, 1/ 1/2000, 6:12: 0 AM,1,2,2,382,1076
369, 1/ 1/2000, 6:13: 0 AM,3,4,4,399,1144
370, 1/ 1/2000, 6:14: 0 AM,2,3,3,398,1212
371, 1/ 1/2000, 6:15: 0 AM,2,3,3,398,1163
372, 1/ 1/2000, 6:16: 0 AM,2,2,2,416,1196
373, 1/ 1/2000, 6:17: 0 AM,2,2,2,386,1155
374, 1/ 1/2000, 6:18: 0 AM,2,3,3,403,1141
375, 1/ 1/2000, 6:19: 0 AM,2,3,4,403,1137
376, 1/ 1/2000, 6:20: 0 AM,1,1,1,405,1199
377, 1/ 1/2000, 6:21: 0 AM,1,2,2,410,1122
378, 1/ 1/2000, 6:22: 0 AM,2,2,6,397,1103
379, 1/ 1/2000, 6:23: 0 AM,2,3,3,400,1115
380, 1/ 1/2000, 6:24: 0 AM,1,2,2,415,1152
381, 1/ 1/2000, 6:25: 0 AM,2,2,3,398,1127
382, 1/ 1/2000, 6:26: 0 AM,1,2,2,395,1033
383, 1/ 1/2000, 6:27: 0 AM,2,3,3,392,1032
384, 1/ 1/2000, 6:28: 0 AM,2,2,2,394,1032
385, 1/ 1/2000, 6:29: 0 AM,2,4,4,391,1032
386, 1/ 1/2000, 6:30: 0 AM,1,2,2,385,1021
387, 1/ 1/2000, 6:31: 0 AM,2,2,2,403,1051
388, 1/ 1/2000, 6:32: 0 AM,1,2,2,380,1006
389, 1/ 1/2000, 6:33: 0 AM,2,3,4,387,1016
390, 1/ 1/2000, 6:34: 0 AM,2,2,2,387,1016
391, 1/ 1/2000, 6:35: 0 AM,2,3,5,393,1025
392, 1/ 1/2000, 6:36: 0 AM,2,3,4,391,1023
393, 1/ 1/2000, 6:37: 0 AM,2,3,3,407,1081
394, 1/ 1/2000, 6:38: 0 AM,1,2,2,405,1209
395, 1/ 1/2000, 6:39: 0 AM,2,2,2,414,1125
396, 1/ 1/2000, 6:40: 0 AM,2,3,4,441,1211
397, 1/ 1/2000, 6:41: 0 AM,1,1,1,415,1160
398, 1/ 1/2000, 6:42: 0 AM,2,2,2,422,1212
399, 1/ 1/2000, 6:43: 0 AM,2,2,2,443,1245
400, 1/ 1/2000, 6:44: 0 AM,2,2,3,420,1173
401, 1/ 1/2000, 6:45: 0 AM,2,3,3,394,1086
402, 1/ 1/2000, 6:46: 0 AM,3,4,5,405,1121
403, 1/ 1/2000, 6:47: 0 AM,2,3,3,401,1086
404, 1/ 1/2000, 6:48: 0 AM,2,2,2,403,1081
405, 1/ 1/2000, 6:49: 0 AM,3,3,3,407,1134
406, 1/ 1/2000, 6:50: 0 AM,1,2,2,412,1118
407, 1/ 1/2000, 6:51: 0 AM,2,3,3,411,1059
408, 1/ 1/2000, 6:52: 0 AM,1,2,7,407,1077
409, 1/ 1/2000, 6:53: 0 AM,1,1,1,393,1076
410, 1/ 1/2000, 6:54: 0 AM,2,2,2,410,1092
411, 1/ 1/2000, 6:55: 0 AM,1,2,2,399,1028
412, 1/ 1/2000, 6:56: 0 AM,1,2,2,404,1014
413, 1/ 1/2000, 6:57: 0 AM,2,3,3,413,1043
